real_division_pair
6 9 19
12 16 19
13 17 19
18 20 19
19 22 19
21 28 19
25 26 19
31 37 19
32 46 19
34 44 19
38 45 19
39 48 19
40 42 19
49 65 21
50 57 19
52 67 21
53 60 19
54 55 19
61 69 19
62 68 19
63 74 19
64 72 19
71 78 19
73 83 19
75 87 19
76 82 19
77 88 19
79 89 19
80 84 19
85 94 19
92 101 19
93 109 19
95 103 19
96 163 25
97 108 19
99 102 19
105 120 19
106 110 19
111 112 31
113 123 19
115 118 19
116 117 19
119 122 19
124 133 19
127 128 31
131 137 19
132 136 19
134 142 19
138 145 33
139 144 31
140 141 19
146 150 19
147 152 19
148 149 19
151 155 31
153 158 19
154 156 29
159 160 19
161 162 19
164 165 19
