real_division_pair
2 6 16
3 5 6
7 12 16
9 11 18
15 19 16
16 196 16
17 22 16
18 27 22
21 28 16
24 39 24
26 31 2
29 30 16
33 40 16
38 198 16
41 43 8
42 46 12
44 56 14
45 50 18
47 48 12
52 62 14
53 59 16
55 61 6
57 68 12
58 65 4
60 71 8
63 69 16
64 67 24
66 78 12
70 76 14
73 79 6
77 83 2
81 87 26
84 90 14
85 89 8
91 96 20
92 95 8
93 98 4
94 200 16
97 101 26
105 110 16
107 117 20
109 111 16
114 116 8
118 126 20
119 121 16
120 124 12
122 125 8
128 132 6
130 134 2
136 141 24
138 142 4
139 150 10
140 145 6
148 155 6
149 158 12
152 160 20
153 159 8
154 156 18
161 162 2
164 169 12
166 172 8
167 168 2
171 175 2
173 177 12
179 180 16
181 184 16
186 188 2
187 197 16
193 195 12
